,ocr_text_raw,math_category
0,"1. \( \left(3^{1-\sqrt{2}}\right)^{2} \times 9^{\sqrt{2}} \) 의 값은? [2점]
(1) \( \frac{1}{9} \)
(2) \( \frac{1}{3} \)
(3) 1
(4) 3
(5) 9",지수함수와 로그함수
1,"2. 함수 \( f(x)=x^{3}-2 x+5 \) 에 대하여 \( \lim _{h \rightarrow 0} \frac{f(1+h)-f(1)}{h} \) 의 값은?
[2점]
(1) 1
(2) 2
(3) 3
(4) 4
(5) 5",미분법
2,"3. 첫째항과 공비가 모두 양수 \( k \) 인 등비수열 \( \left\{a_{n}\right\} \) 이
\[
a_{2}\left(k^{2}+1\right)=3 a_{4}
\]

를 만족시킬 때, \( a_{3} \) 의 값은? [3점]
(1) \( \frac{\sqrt{2}}{8} \)
(2) \( \frac{\sqrt{3}}{9} \)
(3) \( \frac{\sqrt{2}}{4} \)
(4) \( \frac{\sqrt{3}}{3} \)
(5) \( \frac{\sqrt{3}}{2} \)",수열
3,"4. 함수 \( y=f(x) \) 의 그래프가 그림과 같다.
\( \lim _{x \rightarrow-1^{-}} f(x)+\lim _{x \rightarrow 0^{+}} f(x) \) 의 값은? [3점]
(1) -1
(2) 0
(3) 1
(4) 2
(5) 3",함수의 극한과 연속
4,"5. 함수 \( f(x)=(2 x+1)\left(x^{2}-2 x+5\right) \) 에 대하여 \( f^{\prime}(2) \) 의 값은?
[3점]
(1) 8
(2) 12
(3) 16
(4) 20
(5) 24",미분법
5,"6. \( \frac{3}{2} \pi<\theta<2 \pi \) 인 \( \theta \) 에 대하여 \( \sin \theta \tan \theta+\cos \theta=3 \) 일 때, \( \sin \theta-\tan \theta \) 의 값은? [3점]
(1) \( -\frac{4 \sqrt{2}}{3} \)
(2) \( -\frac{2 \sqrt{2}}{3} \)
(3) 0
(4) \( \frac{2 \sqrt{2}}{3} \)
(5) \( \frac{4 \sqrt{2}}{3} \)",삼각함수
6,"7. 다항함수 \( f(x) \) 가
\[
f^{\prime}(x)=x^{2}-k x+k-1, \quad f(0)=2
\]

를 만족시킨다. 함수 \( f(x) \) 가 극값을 갖지 않을 때, \( f(3) \) 의 값은? (단, \( k \) 는 상수이다.) [3점]
(1) 2
(2) 5
(3) 8
(4) 11
(5) 14",적분법
7,"8. 부등식 \( 2^{|x|}+\frac{64}{2^{|x|}} \leq 20 \) 을 만족시키는 정수 \( x \) 의 개수는? [3점]
(1) 6
(2) 7
(3) 8
(4) 9
(5) 10",지수함수와 로그함수
8,"9. 다항함수 \( f(x) \) 가 모든 실수 \( x \) 에 대하여
\[
x f(x)=a x^{3}+2 x-3+\int_{0}^{1} f^{\prime}(t) d t
\]

를 만족시킬 때, \( \int_{0}^{2} f(x) d x \) 의 값은? (단, \( a \) 는 상수이다.) [4점]
(1) 3
(2) 6
(3) 9
(4) 12
(5) 15",적분법
9,"10. 모든 항이 자연수이고 공차가 같은 두 등차수열 \( \left\{a_{n}\right\},\left\{b_{n}\right\} \) 이 모든 자연수 \( n \) 에 대하여
\[
\sum_{k=1}^{n} \frac{1}{a_{k} \times b_{k}}=\frac{n}{8 n+4}
\]

을 만족시킬 때, \( \sum_{k=1}^{5}\left(a_{k}+b_{k}\right) \) 의 값은? [4점]
(1) 100
(2) 110
(3) 120
(4) 130
(5) 140",수열
10,"11. 수직선 위를 움직이는 점 P 의 시각 \( t(t \geq 0) \) 에서의 위치 \( x \) 가
\[
x=k t^{3}-6 t^{2}+t
\]

이다. 양수 \( k \) 에 대하여 시각 \( t=k \) 에서 점 P 의 속도가 1 일 때, 시각 \( t=2 k \) 에서 점 P 의 가속도는? [4점]
(1) 36
(2) 48
(3) 60
(4) 72
(5) 84",미분법
11,"12. 그림과 같이 세 상수 \( a(a>1), k, t \) 에 대하여

두 곡선 \( y=\log _{\mathrm{a}} x, y=-2 \log _{\mathrm{a}} x+k \) 가 만나는 점을 A 라 하고, 직선 \( x=t \) 가 두 곡선 \( y=\log _{a} x, y=-2 \log _{a} x+k \) 와 만나는 점을 각각 \( \mathrm{B}, \mathrm{C} \) 라 하자. 직선 AB 가 원점 O 를 지나고 두 삼각형 \( \mathrm{OCA}, \mathrm{ACB} \) 의 넓이가 2 로 같을 때, \( a \times k \times t \) 의 값은? (단, \( k>0 \) 이고, \( t \) 는 점 A 의 \( x \) 좌표보다 크다.) [4점]
(1) \( 8 \sqrt{2} \)
(2) 16
(3) \( 16 \sqrt{2} \)
(4) 24
(5) \( 24 \sqrt{2} \)",지수함수와 로그함수
12,"13. 최고차항의 계수가 1 인 이차함수 \( f(x) \) 에 대하여 곡선 \( y=f(x) \) 와 직선 \( y=x-3 \) 이 \( x \) 좌표가 양수인
두 점 \( \mathrm{A}, \mathrm{B} \) 에서 만난다. 직선 \( y=x-3 \) 과 \( y \) 축이 만나는 점을 C 라 하자. 곡선 \( y=f(x) \) 와 \( y \) 축 및 선분 AC 로 둘러싸인 부분의 넓이를 \( S_{1} \), 곡선 \( y=f(x) \) 와 선분 AB 로 둘러싸인 부분의 넓이를 \( S_{2} \) 라 하자. 곡선 \( y=f(x) \) 와 선분 AB 로 둘러싸인 부분의 넓이를 직선 \( x=3 \) 이 이등분하고, \( S_{2}-2 S_{1}=6 \) 일 때, \( f(-1) \) 의 값은? (단, 점 A 의 \( x \) 좌표는 3 보다 작고, 점 B 의 \( x \) 좌표는 3 보다 크다.)
[4점]
(1) \( \frac{15}{2} \)
(2) 8
(3) \( \frac{17}{2} \)
(4) 9
(5) \( \frac{19}{2} \)",적분법
13,"14. 그림과 같이 반지름의 길이가 각각 \( r_{1}, r_{2} \) 인 두 원 \( C_{1}, C_{2} \) 가 만나는 두 점을 \( \mathrm{A}, \mathrm{B} \) 라 하자. 원 \( C_{1} \) 위의 점 C 와 원 \( C_{2} \) 위의 두 점 \( \mathrm{D}, \mathrm{E} \) 에 대하여 세 점 \( \mathrm{C}, \mathrm{A}, \mathrm{D} \) 와 세 점 \( \mathrm{C}, \mathrm{B}, \mathrm{E} \) 가 각각 한 직선 위에 있다.
\[
r_{1}: r_{2}=1: 2, \quad \overline{\mathrm{AC}}=3, \quad \overline{\mathrm{AD}}=5, \quad \overline{\mathrm{DE}}=4
\]

일 때, 선분 CE 의 길이는? [4점]
(1) \( 3 \sqrt{7} \)
(2) \( \sqrt{66} \)
(3) \( \sqrt{69} \)
(4) \( 6 \sqrt{2} \)
(5) \( 5 \sqrt{3} \)",삼각함수
14,"15. 최고차항의 계수가 1 이고 \( \lim _{x \rightarrow 0} \frac{f(x)}{x}=1 \) 인 사차함수 \( f(x) \) 와 실수 전체의 집합에서 연속인 함수 \( g(x) \) 가 모든 실수 \( x \) 에 대하여
\[
\{g(x)-x\}\{g(x)-f(x)\}=0
\]

을 만족시킨다. 함수 \( g(x) \) 가 다음 조건을 만족시킬 때, 모든 \( \frac{g(-2)}{g(3)} \) 의 값의 합은? [4점]
(가) \( \lim _{x \rightarrow 2} \frac{g(x)-g(2)}{x-2} \) 의 값은 존재하지 않는다.
(나) \( x \geq a \) 인 모든 실수 \( x \) 에 대하여 \( g(-x)=-g(x) \) 를 만족시키는 실수 \( a \) 의 최솟값은 4 이다.
(1) \( -\frac{41}{3} \)
(2) -13
(3) \( -\frac{37}{3} \)
(4) \( -\frac{35}{3} \)
(5) -11",미분법
15,"16. 방정식
\[
\log _{\sqrt{3}}(x-3)=\log _{3}(5 x-1)
\]

을 만족시키는 실수 \( x \) 의 값을 구하시오. [3점]",지수함수와 로그함수
16,17. \( \int_{0}^{a}\left(4 x^{2}-3 x\right) d x=\int_{0}^{a}\left(x^{2}+x\right) d x \) 를 만족시키는 양수 \( a \) 의 값을 구하시오. [3점],적분법
17,"18. 두 수열 \( \left\{a_{n}\right\},\left\{b_{n}\right\} \) 에 대하여
\[
\sum_{k=1}^{5}\left(a_{k}+3\right)=30, \quad \sum_{k=1}^{5}\left(2 a_{k}+b_{k}\right)=53
\]

일 때, \( \sum_{k=1}^{5} b_{k} \) 의 값을 구하시오. [3점]",수열
18,"19. 최고차항의 계수가 1 인 삼차함수 \( f(x) \) 에 대하여 곡선 \( y=f(x) \) 위의 점 \( (0,1) \) 에서의 접선이 곡선 \( y=f(x) \) 와 점 \( (1,0) \) 에서 만난다. \( f(3) \) 의 값을 구하시오. [3점]",미분법
19,"20. 양수 \( t \) 에 대하여 닫힌구간 \( \left[0, \frac{2}{t}\right] \) 에서 정의된 두 함수
\[
f(x)=\sqrt{3} \sin (t \pi x), \quad g(x)=-3 \cos (t \pi x)
\]

가 있다. \( 0<k<\frac{2}{t} \) 인 상수 \( k \) 에 대하여 \( f(k)=g(k)=3 k \) 일 때, \( 60(t+k) \) 의 값을 구하시오. [4점]",삼각함수
20,"21. 최고차항의 계수가 1 이고 \( f(0)=0 \) 인 삼차함수 \( f(x) \) 와

실수 \( t \) 에 대하여 곡선 \( y=f(x) \) 와 직선 \( y=t \) 가 만나는 점의 개수를 \( g(t) \) 라 하자. 양수 \( a \) 와 함수 \( g(t) \) 가 다음 조건을 만족시킨다.

함수 \( g(t)+g(t-4) \) 는 \( t=0 \) 과 \( t=a \) 에서만 불연속이다.
\( f(a) \) 의 최솟값을 구하시오. [4점]",함수의 극한과 연속
21,"22. 모든 항이 실수인 수열 \( \left\{a_{n}\right\} \) 이 다음 조건을 만족시킨다.
(가) \( a_{1} \times a_{2}>0 \)
(나) 모든 자연수 \( n \) 에 대하여
\[
a_{n+1}=\left\{\begin{array}{ll}
a_{n}^{2} & \left(a_{n} \leq 0\right) \\
-2 a_{n}+3 & \left(a_{n}>0\right)
\end{array}\right.
\]

이다.
\( a_{3}=a_{5} \) 가 되도록 하는 모든 \( a_{1} \) 의 값의 합이 \( \frac{q}{p} \) 일 때, \( p+q \) 의 값을 구하시오. (단, \( p \) 와 \( q \) 는 서로소인 자연수이다.) [4점]",수열
22,"23. 두 사건 \( A, B \) 는 서로 배반사건이고
\[
\mathrm{P}(A)=\frac{1}{4}, \quad \mathrm{P}(B)=\frac{1}{6}
\]
일 때, \( \mathrm{P}(A \cup B) \) 의 값은? [2점]
(1) \( \frac{1}{4} \)
(2) \( \frac{7}{24} \)
(3) \( \frac{1}{3} \)
(4) \( \frac{3}{8} \)
(5) \( \frac{5}{12} \)",확률
23,"24. 다항식 \( \left(x+\frac{1}{2}\right)^{8} \) 의 전개식에서 \( x^{5} \) 의 계수는? [3점]
(1) 4
(2) 5
(3) 6
(4) 7
(5) 8",확률
24,"25. 세 주사위 \( \mathrm{A}, \mathrm{B}, \mathrm{C} \) 를 동시에 던져서 나오는 눈의 수를 각각
\( a, b, c \) 라 할 때, \( a \times b \times c \) 의 값이 3 의 배수일 확률은? [3점]
(1) \( \frac{17}{27} \)
(2) \( \frac{2}{3} \)
(3) \( \frac{19}{27} \)
(4) \( \frac{20}{27} \)
(5) \( \frac{7}{9} \)",확률
25,"26. 흰 공 5 개와 검은 공 10 개를 네 주머니 \( \mathrm{A}, \mathrm{B}, \mathrm{C}, \mathrm{D} \) 에 다음

규칙에 따라 남김없이 나누어 넣는 경우의 수는? (단, 같은 색 공끼리는 서로 구별하지 않고, 검은 공을 넣지 않는 주머니가 있을 수 있다.) [3점]
(가) 각 주머니에 흰 공을 1 개 이상씩 넣는다.
(나) 세 주머니 \( \mathrm{A}, \mathrm{B}, \mathrm{C} \) 에 넣는 흰 공의 개수의 합은 주머니 D 에 넣는 검은 공의 개수와 같다.
(1) 120
(2) 135
(3) 150
(4) 165
(5) 180",확률
26,"27. 숫자 \( 1,2,3,4 \) 가 하나씩 젹혀 있는 카드가 각각 5 장씩 있다.

이 20 장의 카드 중에서 5 장을 택해 원쪽에서 오른쪽으로 일렬로 나열할 때, 다을 조건을 만족시키는 경우의 수는? (단, 같은 숫자가 적힌 카드끼리는 서로 구별하지 않는다.) [3점]
(가) 나열한 5 장의 카드에 젹힌 수의 곱은 96 이다.
(나) 오른쪽 끝에 놓인 카드에 적힌 수는 짝수이다.
(1) 48
(2) 50
(3) 52
(4) 54
(5) 56",경우의 수
27,"28. 집합 \( X=\{1,2,3,4,5,6\} \) 에 대하여 다음 조건을 만족시키는 함수 \( f: X \rightarrow X \) 의 개수는? [4점]
(가) \( 2 f(1)+2 f(2)+f(6)=f(3)+16 \)
(나) \( f(3) \leq f(4) \leq f(5) \leq f(6) \)
(1) 288
(2) 300
(3) 312
(4) 324
(5) 336",확률
28,"29. 학생 A 를 포함한 4 명의 2 학년 학생과 학생 B 를 포함한 4 명의 3 학년 학생이 있다. 이 8 명의 학생이 일청한 간격을 두고 원 모양의 탁자에 다음 조건을 만족시키도록 모두 둘러앉는 경우의 수를 구하시오. (단, 회전하여 일치하는 것은 같은 것으로 븐다.) [4점]
(가) 각 학생은 자신과 이웃한 두 학생 중 적어도 한 명과 같은 학년이다.
(나) A 와 B 는 이웃하지 않는다.",경우의 수
29,"30. 1 부터 6 까지의 자연수가 하나씩 적혀 있는 6 개의 전구가 있다. 이 6 개의 전구는 모두 꺼져 있고, 각 전구는 전원 버튼을 누를 때마다 켜짐과 꺼짐이 전환된다. 이 6 개의 전구와 한 개의 주사위를 사용하여 다음 시행을 한다.

주사위를 한 번 던져 나온 눈의 수가 \( n \) 일 때, \( n \) 이하의 숫자가 적힌 모든 전구의 전원 버튼을 한 번씩 누른다.

이 시행을 5 번 반복할 때, 나오는 눈의 수를 차례로 \( a, b, c, d, e \) 라 하자. 5 번째 시행 후 전구가 모두 켜져 있도록 하는 모든 순서쌍 \( (a, b, c, d, e) \) 의 개수를 구하시오. [4점]",경우의 수
37,"8. 부등식 \( 2^{|x|}+\frac{64}{2^{|x|}} \leq 20 \) 을 만족시키는 경수 \( x \) 의 개수는? [3점]
(1) 6
(2) 7
(3) 8
(4) 9
(5) 10",지수함수와 로그함수
52,"23. \( \lim _{x \rightarrow 0} \frac{4^{x}-1}{x} \) 의 값은? [2점]
(1) \( \ln 2 \)
(2) \( 2 \ln 2 \)
(3) \( 3 \ln 2 \)
(4) \( 4 \ln 2 \)
(5) \( 5 \ln 2 \)",함수의 극한과 연속
53,"24. 매개변수 \( t(t>0) \) 으로 나타내어진 곡선
\[
x=e^{2 t-2}, \quad y=\frac{\ln t}{t}
\]

에서 \( t=1 \) 일 때, \( \frac{d y}{d x} \) 의 값은? [3점]
(1) \( \frac{1}{6} \)
(2) \( \frac{1}{3} \)
(3) \( \frac{1}{2} \)
(4) \( \frac{2}{3} \)
(5) \( \frac{5}{6} \)",미분법
54,"25. 두 양수 \( a, b \) 에 대하여
\[
\lim _{n \rightarrow \infty}\left(\sqrt{a n^{2}+b n}-b n\right)=\lim _{n \rightarrow \infty} \frac{(b n-1)^{2}}{(b+6) n^{2}+1}
\]

일 때, \( a+b \) 의 값은? [3점](1) 6
(2) 12
(3) 18
(4) 24
(5) 30",수열의 극한
55,"26. 자연수 \( n \) 에 대하여 곡선 \( y=x^{2}+5 x+3 \) 과 직선 \( x=n \) 이 만나는 겸을 \( \mathrm{P}_{n} \) 이라 하고, 점 \( \mathrm{P}_{n} \) 을 지나고 기울기가 -1 인 직선이 \( x \) 축과 만나는 점을 \( \mathrm{Q}_{n}, y \) 축과 만나는 점을 \( \mathrm{R}_{\mathrm{n}} \) 이라 하자. \( \sum_{n=1}^{\infty} \frac{3 \sqrt{2}}{\bar{P}_{n} Q_{n}-\overline{P_{n} R_{n}}} \) 의 값은? [3점]
(1) \( \frac{1}{4} \)
(2) \( \frac{1}{2} \)
(3) \( \frac{3}{4} \)
(4) 1
(5) \( \frac{5}{4} \)",급수
